gene,beta1,beta2,eigenvalue_modulus,r2,root_type,category
Agap1,0.139944,0.336051,0.6539,0.1492,real,other
Ackr3,-0.229014,-0.274298,0.5237,0.1006,complex,other
Cops8,0.193164,0.157513,0.5050,0.0750,real,other
Gm9991,-0.130999,0.223748,0.5430,0.0744,real,other
Mlph,-0.293971,0.301835,0.7157,0.2293,real,other
Prlh,-0.110518,0.534202,0.7882,0.3150,real,other
Lrrfip1,0.186263,0.237636,0.5894,0.1179,real,other
Rbm44,-0.169605,0.642666,0.8909,0.3780,real,other
Ramp1,-0.543448,-0.122351,0.3498,0.2430,complex,other
Ube2f,0.271556,0.031402,0.3590,0.0752,real,other
Scly,0.312246,0.297111,0.7231,0.2595,real,other
Espnl,-0.239443,0.159720,0.5369,0.1022,real,other
Klhl30,-0.004610,0.081164,0.2872,0.0035,real,other
Fam132b,0.016966,0.425302,0.6607,0.1496,real,other
Traf3ip1,-0.001056,0.098098,0.3137,0.0067,real,other
Asb1,0.048202,0.247962,0.5226,0.0622,real,other
Twist2,-0.054215,-0.113892,0.3375,0.0148,complex,other
Olfr1413,-0.184074,0.290756,0.6391,0.1369,real,other
Olfr1412,-0.154819,0.533185,0.8117,0.3584,real,other
Olfr1411,-0.290058,0.320437,0.7294,0.2663,real,other
Olfr1410,-0.235243,0.422924,0.7785,0.3017,real,other
Olfr12,-0.039789,0.243427,0.5137,0.0571,real,other
Gpr35,-0.278243,0.206245,0.6141,0.1596,real,other
Gpc1,0.209497,-0.117145,0.3423,0.0407,complex,other
Mir149,-0.371393,0.073087,0.5137,0.1694,real,other
Dusp28,-0.089885,0.140164,0.4220,0.0279,real,other
Rnpepl1,-0.490845,-0.019414,0.4475,0.2146,real,other
Capn10,-0.149320,0.053660,0.3180,-0.0066,real,other
Aqp12,0.011932,0.486067,0.7032,0.2186,real,other
Agxt,0.583505,0.076330,0.6936,0.3667,real,other
Crocc2,0.188831,0.014550,0.2476,0.0355,real,other
Sned1,0.125629,0.188864,0.5019,0.0475,real,other
Ppp1r7,0.453879,-0.000084,0.4537,0.1949,real,other
Ano7,-0.386639,0.127643,0.5995,0.2087,real,other
Sept2,0.187350,0.192904,0.5428,0.0862,real,other
Farp2,-0.494631,-0.047188,0.3655,0.2237,real,other
Bok,0.631047,-0.141678,0.3764,0.3220,complex,other
Atg4b,-0.037823,0.190331,0.4556,0.0337,real,other
Ing5,-0.133773,0.590064,0.8379,0.3913,real,other
D2hgdh,0.271574,0.307545,0.7067,0.2440,real,other
Gm6086,-0.003178,-0.263210,0.5130,0.0669,complex,other
Neu4,-0.240448,0.117996,0.4842,0.0866,real,other
Fam174a,0.278896,0.193674,0.6011,0.1339,real,other
Rpl18a,0.222022,0.329844,0.6960,0.2550,real,other
Hnrnpf,0.141036,0.197833,0.5209,0.0679,real,other
Gin1,-0.057764,0.112442,0.3654,0.0200,real,other
Slco6d1,-0.031543,0.093596,0.3221,0.0077,real,other
Cntnap5b,-0.005941,0.395167,0.6316,0.1541,real,other
Cdh20,-0.069034,0.491073,0.7361,0.2527,real,other
Capza1,0.235166,0.032177,0.3321,0.0565,real,other
2310035C23Rik,0.272660,0.393963,0.7786,0.2975,real,other
Zfp706,0.274854,0.229972,0.6363,0.1998,real,other
Tnfrsf11a,0.207757,-0.208588,0.4567,0.0669,complex,other
Zcchc2,-0.087142,0.377765,0.6597,0.1508,real,other
Phlpp1,0.199737,0.205168,0.5637,0.0995,real,other
D630008O14Rik,-0.119724,-0.267323,0.5170,0.0758,complex,other
Serpinb5,0.025444,0.088112,0.3098,0.0074,real,other
Serpinb12,-0.195971,0.003115,0.2108,0.0330,real,other
Serpinb13,0.033004,0.114183,0.3548,0.0135,real,other
Serpinb11,-0.210033,0.175254,0.5366,0.0908,real,other
Serpinb7,-0.042033,0.067535,0.2817,0.0036,real,other
Serpinb2,-0.017040,0.103499,0.3303,0.0103,real,other
Serpinb10,0.012498,0.223399,0.4789,0.0496,real,other
Serpinb8,-0.024906,-0.009148,0.0956,0.0000,complex,other
Cdh7,-0.045108,0.307173,0.5772,0.0975,real,other
Cntnap5a,0.190282,0.160674,0.5071,0.0749,real,other
Nifk,0.047755,0.138882,0.3973,0.0194,real,other
Clasp1,-0.129017,0.390547,0.6928,0.1637,real,other
Tfcp2l1,0.429884,-0.024777,0.3613,0.1485,real,other
Tmem185b,0.230010,-0.143696,0.3791,0.0607,complex,other
Sctr,-0.384333,-0.102207,0.3197,0.1316,complex,other
3110009E18Rik,-0.183799,0.007307,0.2174,0.0268,real,other
C1ql2,-0.394128,-0.275561,0.5249,0.1625,complex,other
En1,0.180889,-0.025205,0.1588,0.0274,complex,other
Ccdc93,0.154022,0.068535,0.3499,0.0295,real,other
Gm10543,-0.010992,-0.107375,0.3277,0.0093,complex,other
Slc35f5,0.648654,-0.209995,0.4583,0.3182,complex,other
Gpr39,0.194208,0.204094,0.5592,0.0957,real,other
Mgat5,0.440294,0.154769,0.6710,0.2924,real,other
Acmsd,1.103148,-0.401986,0.6340,0.6758,complex,other
Ccnt2,-0.231599,0.297143,0.6731,0.1888,real,other
Rab3gap1,-0.380089,0.275417,0.7482,0.3383,real,other
Rpl28,0.702831,-0.024636,0.6658,0.4508,real,other
R3hdm1,0.079710,0.419389,0.6887,0.1897,real,other
Mir128-1,0.624398,-0.163781,0.4047,0.3017,complex,other
Ubxn4,0.212060,0.148225,0.5054,0.0759,real,other
Thsd7b,0.028488,0.196561,0.4578,0.0373,real,other
Yod1,0.355448,-0.013125,0.3136,0.1176,real,other
AA986860,0.027739,0.189196,0.4491,0.0361,real,other
Fcamr,-0.035536,0.102095,0.3378,0.0099,real,other
Pigr,0.118037,0.159223,0.4624,0.0324,real,other
Fcmr,0.032651,0.198172,0.4618,0.0365,real,other
Il10,-0.310229,-0.243106,0.4931,0.1189,complex,immune
Eif2d,0.074696,0.301021,0.5873,0.0784,real,other
Fam72a,0.473110,0.072636,0.5952,0.2569,real,other
Avpr1b,-0.516509,-0.051976,0.3796,0.2294,real,other
Ctse,-0.300121,-0.077233,0.2779,0.0878,complex,other
Rab7b,-0.078379,0.033319,0.2259,0.0008,real,other
Slc26a9,-0.045138,0.127823,0.3808,0.0194,real,other
Pm20d1,0.374109,0.084410,0.5326,0.1711,real,other
Slc41a1,-0.278844,-0.067126,0.2591,0.0733,complex,other
Rab29,0.429793,0.152997,0.6612,0.2885,real,other
Nucks1,0.875563,-0.324173,0.5694,0.5065,complex,other
Slc45a3,1.093939,-0.491517,0.7011,0.6791,complex,other
Elk4,-0.172903,0.223801,0.5674,0.0964,real,other
Lemd1,0.429223,-0.572991,0.7570,0.3697,complex,other
Mir135b,-0.184693,-0.101837,0.3191,0.0376,complex,other
Klhdc8a,0.512233,0.027972,0.5620,0.2792,real,other
Nuak2,0.065854,-0.024105,0.1553,0.0046,complex,other
Dstyk,0.022315,0.438453,0.6734,0.1949,real,other
Rbbp5,0.396217,-0.025751,0.3143,0.1328,real,other
Tmem81,-0.217854,0.242638,0.6134,0.1427,real,other
Gm10538,-0.220753,0.378011,0.7350,0.2480,real,other
Lrrn2,-0.057087,0.211086,0.4889,0.0393,real,other
Pik3c2b,0.079197,0.118086,0.3855,0.0209,real,other
Ppp1r15b,0.517649,-0.107692,0.3282,0.2176,complex,other
Plekha6,0.288937,0.005922,0.3082,0.0839,real,other
Golt1a,0.208339,0.106460,0.4467,0.0612,real,other
Kiss1,0.041512,0.020177,0.1643,0.0021,real,other
Etnk2,0.829639,-0.200103,0.4473,0.5113,complex,other
Gm10537,-0.101071,0.456122,0.7278,0.1910,real,other
Fmod,-0.484661,-0.218894,0.4679,0.2010,complex,other
Chit1,0.150538,-0.214760,0.4634,0.0546,complex,other
Chil1,-0.186502,0.119223,0.4509,0.0546,real,other
Mybph,-0.087057,0.676069,0.8669,0.4270,real,other
Myog,0.071142,-0.175223,0.4186,0.0250,complex,other
4933406M09Rik,-0.184473,0.114824,0.4434,0.0558,real,other
Cyb5r1,0.158733,0.332883,0.6618,0.1358,real,other
Adipor1,0.213765,0.202889,0.5698,0.0879,real,other
Klhl12,-0.228101,0.379802,0.7408,0.2592,real,other
Rabif,-0.124512,0.057730,0.3105,0.0178,real,other
Kdm5b,0.261194,0.287973,0.6829,0.2050,real,other
Syt2,0.110179,0.099190,0.3748,0.0195,real,other
Ube2t,-0.118950,0.210386,0.5220,0.0671,real,other
Gm10535,-0.110415,0.356697,0.6550,0.1379,real,other
Ptpn7,0.123684,-0.182799,0.4275,0.0440,complex,other
Arl8a,0.102309,0.329200,0.6272,0.0918,real,other
Lmod1,-0.129323,-0.014936,0.1222,0.0162,complex,other
Gm4793,0.097966,0.078273,0.3330,0.0157,real,other
Csrp1,0.125327,0.118428,0.4125,0.0332,real,other
Phlda3,0.094712,-0.358410,0.5987,0.1355,complex,other
Tnni1,-0.050788,-0.299518,0.5473,0.0918,complex,other
Lad1,0.687795,-0.099014,0.4826,0.3862,real,other
Tnnt2,0.040570,-0.182672,0.4274,0.0325,complex,other
Tmem9,-0.293943,0.129532,0.5357,0.1140,real,other
Ascl5,0.222778,-0.296117,0.5442,0.1118,complex,other
Cacna1s,-0.056148,0.032311,0.2100,0.0033,real,other
Kif21b,0.049532,-0.045841,0.2141,0.0035,complex,other
Ddx59,-0.112769,0.122512,0.4109,0.0327,real,other
Kif14,0.191003,-0.155216,0.3940,0.0447,complex,other
Zfp281,0.319664,-0.281172,0.5303,0.1437,complex,other
Hmbs,0.207325,0.349858,0.7042,0.1549,real,housekeeping
A130050O07Rik,0.289502,-0.004971,0.2712,0.0722,real,other
Mir181a-1,-0.069536,-0.245070,0.4950,0.0633,complex,other
Mir181b-1,-0.202088,0.142702,0.4921,0.0745,real,other
Atp6v1g3,-0.027958,0.085015,0.3059,0.0058,real,other
Zbtb41,-0.241081,0.028244,0.3274,0.0530,real,other
Aspm,-0.082051,0.258193,0.5508,0.0699,real,other
F13b,0.284612,0.096904,0.4846,0.1034,real,other
Kcnt2,0.407458,-0.324761,0.5699,0.1963,complex,other
B3galt2,-0.090971,-0.044517,0.2110,0.0083,complex,other
Uchl5,0.091973,0.420682,0.6962,0.1951,real,other
Brinp3,-0.025260,0.185860,0.4439,0.0349,real,other
Ptgs2,0.062474,0.013811,0.1528,0.0041,real,other
Pdc,-0.302582,0.305800,0.7246,0.2596,real,other
Tpr,0.228132,0.395710,0.7534,0.2109,real,other
3110040M04Rik,-0.135520,0.274566,0.5961,0.1000,real,other
Ivns1abp,0.902198,-0.291685,0.5401,0.5357,complex,other
Trmt1l,0.102668,0.313502,0.6136,0.1193,real,other
Fam129a,-0.022869,0.367954,0.6181,0.1429,real,other
Edem3,0.000819,0.106009,0.3260,0.0071,real,other
Colgalt2,0.339169,0.113784,0.5471,0.1582,real,other
Apobec4,0.026694,-0.006901,0.0831,0.0004,complex,other
Ncf2,-0.010230,-0.163643,0.4045,0.0182,complex,other
Nmnat2,0.370460,-0.074646,0.2732,0.1046,complex,other
Shcbp1l,-0.527699,-0.070891,0.2663,0.2450,complex,other
Rgs8,0.086334,-0.316043,0.5622,0.1032,complex,other
Rgs16,0.455066,-0.068435,0.2616,0.1813,complex,other
Rnasel,-0.201189,0.198011,0.5568,0.1041,real,other
Teddm1b,-0.013328,0.131270,0.3690,0.0118,real,other
